Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Wandong,Government,Primary,Mitchell (S),145.02786,-37.3603
Cowes,Government,Primary,Bass Coast (S),145.24131,-38.45628
Bullarto,Government,Primary,Hepburn (S),144.21822,-37.40538
Lismore,Government,Primary,Corangamite (S),143.3393,-37.9546
Lower Plenty,Government,Primary,Banyule (C),145.1155,-37.72617
Golden Square,Government,Primary,Greater Bendigo (C),144.24834,-36.76187
Bolwarra,Government,Primary,Glenelg (S),141.6138,-38.28161
Navarre,Government,Primary,Northern Grampians (S),143.11134,-36.90074
Warracknabeal,Government,Primary,Yarriambiack (S),142.39126,-36.25788
Moyhu,Government,Primary,Wangaratta (RC),146.38309,-36.59317
Natte Yallock,Government,Primary,Pyrenees (S),143.468,-36.94213
Clifton Hill,Government,Primary,Yarra (C),144.98925,-37.79231
Christmas Hills,Government,Primary,Nillumbik (S),145.3042,-37.65352
Tallangatta,Government,Primary,Towong (S),147.1742,-36.2148
Kialla,Government,Primary,Greater Shepparton (C),145.43115,-36.4527
Mount Eliza,Government,Primary,Mornington Peninsula (S),145.09219,-38.19539
San Remo,Government,Primary,Bass Coast (S),145.36945,-38.52385
Dimboola,Government,Primary,Hindmarsh (S),142.0304,-36.45336
Whorouly,Government,Primary,Wangaratta (RC),146.58665,-36.50544
Merrijig,Government,Primary,Mansfield (S),146.25688,-37.1028
Lethbridge,Government,Primary,Golden Plains (S),144.13456,-37.96906
Oxley,Government,Primary,Wangaratta (RC),146.36064,-36.44156
Northcote,Government,Primary,Darebin (C),144.99688,-37.77176
North Melbourne,Government,Primary,Melbourne (C),144.95064,-37.79873
Dandenong,Government,Primary,Greater Dandenong (C),145.21982,-37.98792
Malmsbury,Government,Primary,Macedon Ranges (S),144.38694,-37.18732
Williamstown,Government,Primary,Hobsons Bay (C),144.89176,-37.8559
Kerang,Government,Primary,Gannawarra (S),143.92114,-35.73169
Drouin West,Government,Primary,Baw Baw (S),145.87172,-38.08711
Meredith,Government,Primary,Golden Plains (S),144.07781,-37.84271
Edi Upper,Government,Primary,Wangaratta (RC),146.44881,-36.70647
Eaglehawk,Government,Primary,Greater Bendigo (C),144.23727,-36.70707
Mooroopna,Government,Primary,Greater Shepparton (C),145.36029,-36.39136
Cairnlea,Government,Primary,Brimbank (C),144.788,-37.75885
Ballan,Government,Primary,Moorabool (S),144.2311,-37.60168
Ballarat,Government,Primary,Ballarat (C),143.85781,-37.57836
Tatura,Government,Primary,Greater Shepparton (C),145.22992,-36.44497
Toolamba,Government,Primary,Greater Shepparton (C),145.34418,-36.49052
Tatura,Government,Primary,Greater Shepparton (C),145.14175,-36.46986
Osbornes Flat,Government,Primary,Indigo (S),146.89257,-36.31716
Frankston,Government,Primary,Frankston (C),145.12403,-38.14756
Donald,Government,Primary,Buloke (S),142.98463,-36.36721
Beveridge,Government,Primary,Mitchell (S),144.97776,-37.47206
St Kilda,Government,Primary,Port Phillip (C),144.98902,-37.87022
Cape Clear,Government,Primary,Golden Plains (S),143.60821,-37.79196
Warburton,Government,Primary,Yarra Ranges (S),145.7017,-37.7558
Tallarook,Government,Primary,Mitchell (S),145.10067,-37.09676
Barnawartha,Government,Primary,Indigo (S),146.67589,-36.10131
Fitzroy North,Government,Primary,Yarra (C),144.98415,-37.78502
Geelong West,Government,Primary,Greater Geelong (C),144.3471,-38.13856
Preston,Government,Primary,Darebin (C),145.01031,-37.73055
Tooradin,Government,Primary,Casey (C),145.37849,-38.20763
Hawthorn,Government,Primary,Boroondara (C),145.03397,-37.82405
Elmore,Government,Primary,Greater Bendigo (C),144.60891,-36.4972
Dookie,Government,Primary,Greater Shepparton (C),145.68279,-36.33107
Brighton,Government,Primary,Bayside (C),145.00108,-37.91221
Natimuk,Government,Primary,Horsham (RC),141.9505,-36.74124
Murtoa,Government,Pri/Sec,Yarriambiack (S),142.47574,-36.6235
Big Hill,Government,Primary,Greater Bendigo (C),144.24247,-36.83058
Clunes,Government,Primary,Hepburn (S),143.79211,-37.29075
Marnoo,Government,Primary,Northern Grampians (S),142.87035,-36.67685
Beechworth,Government,Primary,Indigo (S),146.69357,-36.35543
Ardmona,Government,Primary,Greater Shepparton (C),145.31307,-36.38546
Kilmore,Government,Primary,Mitchell (S),144.94752,-37.29577
Macarthur,Government,Primary,Moyne (S),142.00147,-38.03088
Barwon Heads,Government,Primary,Greater Geelong (C),144.48704,-38.28119
Keilor,Government,Primary,Brimbank (C),144.8357,-37.7169
Dunolly,Government,Primary,Central Goldfields (S),143.73358,-36.85155
Springhurst,Government,Primary,Wangaratta (RC),146.4681,-36.18467
Trentham,Government,Primary,Hepburn (S),144.3281,-37.38797
Warrenheip,Government,Primary,Ballarat (C),143.92743,-37.5741
Maiden Gully,Government,Primary,Greater Bendigo (C),144.2097,-36.74419
Rupanyup,Government,Primary,Yarriambiack (S),142.62861,-36.63222
Goornong,Government,Primary,Greater Bendigo (C),144.50468,-36.617
Oakleigh,Government,Primary,Monash (C),145.08862,-37.89447
Ceres,Government,Primary,Greater Geelong (C),144.26673,-38.17355
Malvern,Government,Primary,Stonnington (C),145.0344,-37.85601
Daylesford,Government,Primary,Hepburn (S),144.14156,-37.3451
Mooroopna,Government,Primary,Greater Shepparton (C),145.29849,-36.32914
Swan Reach,Government,Primary,East Gippsland (S),147.86479,-37.82108
Amphitheatre,Government,Primary,Pyrenees (S),143.39924,-37.18413
Deans Marsh,Government,Primary,Surf Coast (S),143.88575,-38.39988
Drysdale,Government,Primary,Greater Geelong (C),144.57175,-38.16916
St Arnaud,Government,Primary,Northern Grampians (S),143.25754,-36.6102
Nullawarre,Government,Primary,Moyne (S),142.73443,-38.46676
Macedon,Government,Primary,Macedon Ranges (S),144.56268,-37.41869
Arthurs Creek,Government,Primary,Nillumbik (S),145.2025,-37.579
Rye,Government,Primary,Mornington Peninsula (S),144.82382,-38.37312
Buxton,Government,Primary,Murrindindi (S),145.70905,-37.4214
Moonambel,Government,Primary,Pyrenees (S),143.32074,-36.98986
Longford,Government,Primary,Wellington (S),147.08841,-38.16956
Harkaway,Government,Primary,Casey (C),145.34517,-38.00085
Balnarring,Government,Primary,Mornington Peninsula (S),145.12282,-38.37672
Londrigan,Government,Primary,Wangaratta (RC),146.46086,-36.3289
Euroa,Government,Primary,Strathbogie (S),145.57208,-36.75596
Pyramid Hill,Government,Pri/Sec,Loddon (S),144.11368,-36.04736
Shepparton East,Government,Primary,Greater Shepparton (C),145.47925,-36.39993
Nicholson,Government,Primary,East Gippsland (S),147.74791,-37.81578
Kialla West,Government,Primary,Greater Shepparton (C),145.38946,-36.46601
Miners Rest,Government,Primary,Ballarat (C),143.7947,-37.47788
Glenrowan,Government,Primary,Wangaratta (RC),146.22234,-36.46019
